,company,skills,link
0,"R DOT VENTURE
     (More Jobs)","Python  ,  django  ,  flask  ,  aws  ,  github  ,  ML libraries  ,  Javascript",https://www.timesjobs.com/job-detail/python-developer-r-dot-venture-indore-1-to-3-yrs-jobid-DGWO__PLUS__LE5cVxzpSvf__PLUS__uAgZw==&source=srp
1,"B.S.B International Career Pvt. Ltd.
     (More Jobs)",python developer,https://www.timesjobs.com/job-detail/python-developer-bsbstaffing-bengaluru-bangalore-delhi-ncr-hyderabad-secunderabad-mumbai-noida-greater-noida-1-to-6-yrs-jobid-pHsFviP8ldJzpSvf__PLUS__uAgZw==&source=srp
2,"B.S.B International Career Pvt. Ltd.
     (More Jobs)",Programmer,https://www.timesjobs.com/job-detail/python-developer-b-s-b-international-career-pvt-ltd-gurgaon-hyderabad-secunderabad-mumbai-noida-greater-noida-pune-1-to-6-yrs-jobid-m8__SLASH__nFkS__SLASH__VWtzpSvf__PLUS__uAgZw==&source=srp
3,"Shaurya Global Solutions
     (More Jobs)","Core Python  ,   Frame Works",https://www.timesjobs.com/job-detail/python-developer-shaurya-global-solutions-bengaluru-bangalore-chennai-delhi-hyderabad-secunderabad-mumbai-0-to-3-yrs-jobid-MxitXwv0jr1zpSvf__PLUS__uAgZw==&source=srp
4,"CANVAS27.com
     (More Jobs)","CSS  ,  Solr  ,  Github  ,  Django  ,  MySQL  ,  Javascript  ,  HTML  ,  MongoDB  ,  Elastic Search  ,  Python",https://www.timesjobs.com/job-detail/python-developer-canvas27-com-ahmedabad-bengaluru-bangalore-chennai-delhi-ncr-gurgaon-1-to-6-yrs-jobid-SprIasbOP6hzpSvf__PLUS__uAgZw==&source=srp
5,"CANVAS27.com
     (More Jobs)","rest  ,  python  ,  open source  ,  django  ,  devops  ,  mysql  ,  API  ,  aws  ,  mongodb  ,  postgres  ,  SQL",https://www.timesjobs.com/job-detail/python-developer-canvas27-com-hyderabad-secunderabad-kolkata-mumbai-noida-greater-noida-pune-1-to-6-yrs-jobid-BLk__SLASH__UC4ZfexzpSvf__PLUS__uAgZw==&source=srp
6,"CANVAS27.com Consultant
     (More Jobs)","coding  ,  python  ,  erp  ,  software development  ,  postgresql  ,  web application  ,  Backend Developer  ,  product development  ,  threading  ,  python developer  ,  python programmer  ,  javascript",https://www.timesjobs.com/job-detail/python-developer-canvas27-com-consultant-hyderabad-secunderabad-kolkata-mumbai-noida-greater-noida-pune-1-to-6-yrs-jobid-ijLeZkVP4WBzpSvf__PLUS__uAgZw==&source=srp
7,"CANVAS27.com
     (More Jobs)","CSS  ,  Solr  ,  Github  ,  Django  ,  MySQL  ,  Javascript  ,  HTML  ,  MongoDB  ,  Elastic Search  ,  Python",https://www.timesjobs.com/job-detail/python-developer-canvas27-com-hyderabad-secunderabad-kolkata-mumbai-noida-greater-noida-pune-1-to-6-yrs-jobid-nHuj__PLUS__T5QsGtzpSvf__PLUS__uAgZw==&source=srp
8,"CANVAS27.com
     (More Jobs)","rest  ,  python  ,  open source  ,  django  ,  devops  ,  mysql  ,  API  ,  aws  ,  mongodb  ,  postgres  ,  SQL",https://www.timesjobs.com/job-detail/python-developer-canvas27-com-ahmedabad-bengaluru-bangalore-chennai-delhi-ncr-gurgaon-1-to-6-yrs-jobid-E9hOCRx6a81zpSvf__PLUS__uAgZw==&source=srp
9,"CANVAS27.com Consultant
     (More Jobs)","coding  ,  python  ,  erp  ,  software development  ,  postgresql  ,  web application  ,  Backend Developer  ,  product development  ,  threading  ,  python developer  ,  python programmer  ,  javascript",https://www.timesjobs.com/job-detail/python-developer-canvas27-com-consultant-ahmedabad-bengaluru-bangalore-chennai-delhi-ncr-gurgaon-1-to-6-yrs-jobid-LdKVbJWgFt1zpSvf__PLUS__uAgZw==&source=srp
10,"CANVAS27.com Consultant
     (More Jobs)","Python Developer  ,  Pandas  ,  numpy  ,  python programmer",https://www.timesjobs.com/job-detail/python-developer-canvas27-com-consultant-ahmedabad-bengaluru-bangalore-chennai-delhi-ncr-gurgaon-1-to-6-yrs-jobid-WStGUGtlyK9zpSvf__PLUS__uAgZw==&source=srp
11,"CANVAS27.com Consultant
     (More Jobs)","Python Developer  ,  Pandas  ,  numpy  ,  python programmer",https://www.timesjobs.com/job-detail/python-developer-canvas27-com-consultant-hyderabad-secunderabad-kolkata-mumbai-noida-greater-noida-pune-1-to-6-yrs-jobid-Rnhzaf0mwThzpSvf__PLUS__uAgZw==&source=srp
12,"R DOT VENTURE
     (More Jobs)","git  ,  Svn  ,  mysql  ,  html5  ,  css  ,  django  ,  flask  ,  postgresql",https://www.timesjobs.com/job-detail/senior-python-developer-r-dot-venture-other-city-s-in-madhya-pradesh-4-to-6-yrs-jobid-KPSmdZVDUi1zpSvf__PLUS__uAgZw==&source=srp
13,"R DOT VENTURE
     (More Jobs)","HTML5  ,  CSS  ,  MYSQL  ,  PostgreSQL  ,  Angular  ,  Vue.js  ,  React  ,  Git  ,  SVN  ,  Odoo  ,  Django  ,  Flask  ,  core python",https://www.timesjobs.com/job-detail/senior-python-developer-r-dot-venture-indore-4-to-6-yrs-jobid-u6X4pl6tC5NzpSvf__PLUS__uAgZw==&source=srp
14,"CANVAS27.com Consultant
     (More Jobs)","python  ,  nlp  ,  natural language processing  ,  MongoDB  ,  api  ,  machine learning  ,  nosql",https://www.timesjobs.com/job-detail/python-developer-machine-learning-canvas27-com-consultant-ahmedabad-bengaluru-bangalore-chennai-delhi-ncr-gurgaon-1-to-6-yrs-jobid-iKFW43h__SLASH__vVlzpSvf__PLUS__uAgZw==&source=srp
15,"CANVAS27.com Consultant
     (More Jobs)","python  ,  nlp  ,  natural language processing  ,  MongoDB  ,  api  ,  machine learning  ,  nosql",https://www.timesjobs.com/job-detail/python-developer-machine-learning-canvas27-com-consultant-hyderabad-secunderabad-kolkata-mumbai-noida-greater-noida-pune-1-to-6-yrs-jobid-ZLZiz__PLUS__U24oBzpSvf__PLUS__uAgZw==&source=srp
16,TandA HR Solutions,"Django framework  ,  Python Developer  ,  core python",https://www.timesjobs.com/job-detail/python-developer-tanda-hr-solutions-mohali-3-to-5-yrs-jobid-GTT0grHZP1tzpSvf__PLUS__uAgZw==&source=srp
17,creative thoughts informatics indore,"python  ,  django  ,  rest api  ,  html5  ,  javascript",https://www.timesjobs.com/job-detail/python-developer-creative-thoughts-informatics-indore-indore-1-to-4-yrs-jobid-xtV5Tl3aEcVzpSvf__PLUS__uAgZw==&source=srp
18,SYSTEMATIX INFOTECH PVT LTD,"python  ,  security  ,  django  ,  html5  ,  javascript",https://www.timesjobs.com/job-detail/python-developer-systematix-infotech-pvt-ltd-bhopal-1-to-3-yrs-jobid-Dl__SLASH__nEjdCiSVzpSvf__PLUS__uAgZw==&source=srp
19,bigstep technologies pvt ltd,"rest api  ,  docker  ,  postgresql  ,  web development  ,  api  ,  mongodb  ,  python  ,  mobile  ,  django",https://www.timesjobs.com/job-detail/python-developer-bigstep-technologies-pvt-ltd-gurgaon-3-to-7-yrs-jobid-IQWyCFbw9URzpSvf__PLUS__uAgZw==&source=srp
20,APPLYCUP HIRING SOLUTIONS LLP,"python  ,  css  ,  html5  ,  javascript  ,  database  ,  django  ,  protocol testing  ,  postgresql  ,  system development  ,  html  ,  mysql  ,  api  ,  mongodb",https://www.timesjobs.com/job-detail/python-developer-applycup-hiring-solutions-llp-indore-1-to-3-yrs-jobid-jwhr1C80__PLUS__otzpSvf__PLUS__uAgZw==&source=srp
21,KIWITECH,"algorithms  ,  python  ,  css  ,  javascript  ,  jquery  ,  web programming  ,  oop  ,  django  ,  zope  ,  linux  ,  web development  ,  html  ,  data structures",https://www.timesjobs.com/job-detail/python-developer-kiwitech-noida-greater-noida-3-to-6-yrs-jobid-jdbnQbeZ83FzpSvf__PLUS__uAgZw==&source=srp
22,APPLYCUP HIRING SOLUTIONS LLP,"python  ,  django  ,  html5  ,  javascript",https://www.timesjobs.com/job-detail/python-developer-applycup-hiring-solutions-llp-gurgaon-delhi-delhi-ncr-2-to-15-yrs-jobid-FHYQtX1BOyxzpSvf__PLUS__uAgZw==&source=srp
23,zenga tv,"python  ,  django  ,  html5  ,  javascript",https://www.timesjobs.com/job-detail/python-developer-zenga-tv-gurgaon-2-to-5-yrs-jobid-__PLUS__GAu6f5FqwdzpSvf__PLUS__uAgZw==&source=srp
24,Fluper Limited,"c#  ,  python  ,  virtual reality  ,  mobile  ,  augmented reality  ,  opencv",https://www.timesjobs.com/job-detail/python-developer-fluper-limited-noida-greater-noida-2-to-7-yrs-jobid-ETCeznAalQBzpSvf__PLUS__uAgZw==&source=srp
